,transcript,id,tissue,expr,SE,lb,ub,PAN.LIV_q,PAN.KID_q,KID.LIV_q,PAN.LIV.KID_q,shortName,gene,GO,geneLink,transcriptLink
130069,uc007aez,11,kidney,1.67,0.14,1.53,1.81,0.126119964,0.003095509,0.39956677,0.064403459,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aez.2' target = '_blank'>uc007aez</a>
130070,uc007aff,12,kidney,10.77,1.52,9.25,12.29,0.025797491,5.55E-08,3.64E-09,6.04E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aff.3' target = '_blank'>uc007aff</a>
130071,uc007afd,13,kidney,10.35,1.55,8.8,11.9,0.057154014,5.42E-06,9.14E-10,1.03E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afd.3' target = '_blank'>uc007afd</a>
130072,uc007afg,14,kidney,10.11,2.09,8.03,12.2,0.829921044,0.002330614,0.001430535,4.44E-05,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afg.1' target = '_blank'>uc007afg</a>
130073,uc007afh,15,kidney,26.05,3.91,22.15,29.96,0.912793149,0.901765078,0.004523592,0.000345117,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afh.1' target = '_blank'>uc007afh</a>
130074,uc011wht,16,kidney,4.51,0.2,4.31,4.7,0.130240552,0.004494649,0.001679069,0.000359901,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011wht.1' target = '_blank'>uc011wht</a>
130075,uc007afi,17,kidney,4.5,0.2,4.3,4.7,0.130240552,0.004494649,0.001679069,0.00036322,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afi.2' target = '_blank'>uc007afi</a>
130076,uc007afe,18,kidney,9.7,1.55,8.15,11.25,0.065681308,3.80E-06,1.49E-09,2.48E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afe.3' target = '_blank'>uc007afe</a>
130077,NM_001290372(ref,19,kidney,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
130078,uc007afk,20,kidney,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afk.2' target = '_blank'>uc007afk</a>
130079,NM_021374(refseq,21,kidney,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
130080,uc011whu,22,kidney,4.66,0.2,4.46,4.86,0.125452439,0.004511677,0.001733648,0.000371862,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whu.1' target = '_blank'>uc011whu</a>
130081,uc007afm,23,kidney,6.43,0.8,5.62,7.23,0.028781046,2.05E-05,8.05E-06,6.50E-07,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afm.1' target = '_blank'>uc007afm</a>
130082,uc007afn,24,kidney,29.82,2.74,27.09,32.56,0.18268332,0.000277055,0.000194856,1.78E-05,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afn.1' target = '_blank'>uc007afn</a>
130083,uc007afp,25,kidney,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afp.2' target = '_blank'>uc007afp</a>
130084,uc007afo,26,kidney,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afo.2' target = '_blank'>uc007afo</a>
130085,uc007afl,27,kidney,0.01,0.01,0.01,0.02,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afl.2' target = '_blank'>uc007afl</a>
130086,uc007afq,28,kidney,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afq.2' target = '_blank'>uc007afq</a>
130087,uc007afr,29,kidney,4.67,0.25,4.42,4.92,0.150425948,0.555579838,0.00345998,0.005146298,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afr.2' target = '_blank'>uc007afr</a>
130088,uc011whx,30,kidney,5.16,0.28,4.88,5.43,0.148626728,0.616536684,0.003651714,0.006178035,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whx.1' target = '_blank'>uc011whx</a>
130089,uc007afs,31,kidney,2.08,0.13,1.95,2.21,0.084114617,0.304862865,0.003282881,0.007264483,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afs.1' target = '_blank'>uc007afs</a>
