gene_id_go,gene_description,geneLink,GO
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,U6 snRNA binding
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,protein kinase binding
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,poly(A) RNA binding
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,catalytic step 2 spliceosome
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,acute inflammatory response
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,beta-glucuronidase activity
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,signal transducer activity
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,fibroblast growth factor receptor binding
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,hormone activity
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,vitamin D binding
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,extracellular region
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,extracellular space
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,extracellular space
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,plasma membrane
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,integral component of plasma membrane
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,carbohydrate metabolic process
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,energy reserve metabolic process
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,epidermal growth factor receptor signaling pathway
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,aging
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,insulin receptor signaling pathway
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,beta-glucosidase activity
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,fibroblast growth factor receptor signaling pathway
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,integral component of membrane
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,fibroblast growth factor binding
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,positive regulation of bone mineralization
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,Fc-epsilon receptor signaling pathway
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,innate immune response
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,neurotrophin TRK receptor signaling pathway
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,phosphatidylinositol-mediated signaling
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,calcium ion homeostasis
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,extracellular vesicular exosome
KL,klotho,https://www.ncbi.nlm.nih.gov/gene/?term=9365,positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular matrix structural constituent
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,calcium ion binding
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular region
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,proteinaceous extracellular matrix
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,positive regulation of cell-substrate adhesion
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular matrix organization
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular matrix
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular matrix binding
FBLN2,fibulin 2,https://www.ncbi.nlm.nih.gov/gene/?term=2199,extracellular vesicular exosome
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,G-protein coupled receptor activity
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,olfactory receptor activity
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,plasma membrane
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,G-protein coupled receptor signaling pathway
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,integral component of membrane
OR12D3,olfactory receptor family 12 subfamily D member 3,https://www.ncbi.nlm.nih.gov/gene/?term=81797,detection of chemical stimulus involved in sensory perception of smell
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,protein binding
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,cytoplasm
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,plasma membrane
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,cell-cell adherens junction
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,signal transduction
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,beta-catenin binding
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,cytoskeletal protein binding
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,negative regulation of cell proliferation
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,single organismal cell-cell adhesion
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,receptor signaling complex scaffold activity
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,intracellular signal transduction
DLG5,discs large MAGUK scaffold protein 5,https://www.ncbi.nlm.nih.gov/gene/?term=9231,regulation of apoptotic process
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,nuclear-transcribed mRNA catabolic process nonsense-mediated decay
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,mRNA binding
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,structural constituent of ribosome
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,protein binding
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,nucleus
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,nucleoplasm
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,nucleolus
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,cytosol
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,translation
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,translation
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,translational initiation
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,translational elongation
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,translational termination
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,SRP-dependent cotranslational protein targeting to membrane
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,gene expression
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,membrane
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,viral process
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,RNA metabolic process
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,mRNA metabolic process
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,fibroblast growth factor binding
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,viral life cycle
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,viral transcription
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,enzyme binding
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,cytosolic small ribosomal subunit
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,cellular protein metabolic process
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,poly(A) RNA binding
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,positive regulation of transferase activity
RPS2,ribosomal protein S2,https://www.ncbi.nlm.nih.gov/gene/?term=6187,extracellular vesicular exosome
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,arylesterase activity
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,biological_process
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,biosynthetic process
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,cell surface
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,membrane
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,integral component of membrane
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,strictosidine synthase activity
APMAP,adipocyte plasma membrane associated protein,https://www.ncbi.nlm.nih.gov/gene/?term=57136,extracellular vesicular exosome
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,protein phosphatase type 1 complex
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,nucleus
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,nucleolus
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,cytoplasm
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,cytoplasm
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,Ras protein signal transduction
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,fibroblast growth factor receptor signaling pathway
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,protein phosphatase regulator activity
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,protein phosphatase binding
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,positive regulation of Ras protein signal transduction
SHOC2,"SHOC2, leucine rich repeat scaffold protein",https://www.ncbi.nlm.nih.gov/gene/?term=8036,regulation of catalytic activity
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,sequence-specific DNA binding transcription factor activity
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,protein binding
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,intracellular
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,nucleus
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,endoplasmic reticulum membrane
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,transcription DNA-templated
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,regulation of transcription DNA-templated
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,response to unfolded protein
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,signal transduction
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,integral component of membrane
ATF6B,activating transcription factor 6 beta,https://www.ncbi.nlm.nih.gov/gene/?term=1388,sequence-specific DNA binding
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,DNA binding
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,mitochondrion
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,DNA methylation
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,protein methylation
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,N-methyltransferase activity
HEMK1,HemK methyltransferase family member 1,https://www.ncbi.nlm.nih.gov/gene/?term=51409,protein methyltransferase activity
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,cysteine-type endopeptidase activity
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,ubiquitin thiolesterase activity
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,ubiquitin-specific protease activity
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,protein binding
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,regulation of transcription DNA-templated
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,ubiquitin-dependent protein catabolic process
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,autophagy
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,omega peptidase activity
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,zinc ion binding
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,cell proliferation
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,regulation of autophagy
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,melanocyte differentiation
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,ubiquitin protein ligase binding
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,ubiquitin binding
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,protein stabilization
USP13,ubiquitin specific peptidase 13 (isopeptidase T-3),https://www.ncbi.nlm.nih.gov/gene/?term=8975,protein K63-linked deubiquitination
TMEM114,transmembrane protein 114,https://www.ncbi.nlm.nih.gov/gene/?term=283953,plasma membrane
TMEM114,transmembrane protein 114,https://www.ncbi.nlm.nih.gov/gene/?term=283953,integral component of membrane
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,nucleic acid binding
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,RNA binding
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,protein binding
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,intracellular
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,nucleus
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,nucleolus
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,plasma membrane
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,dGTP catabolic process
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,immune response
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,phosphoric diester hydrolase activity
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,zinc ion binding
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,dGTPase activity
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,dGTP binding
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,innate immune response
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,regulation of innate immune response
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,dATP catabolic process
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,protein homotetramerization
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,https://www.ncbi.nlm.nih.gov/gene/?term=25939,defense response to virus
ZNF740,zinc finger protein 740,https://www.ncbi.nlm.nih.gov/gene/?term=283337,nucleic acid binding
ZNF740,zinc finger protein 740,https://www.ncbi.nlm.nih.gov/gene/?term=283337,nucleus
ZNF740,zinc finger protein 740,https://www.ncbi.nlm.nih.gov/gene/?term=283337,transcription DNA-templated
ZNF740,zinc finger protein 740,https://www.ncbi.nlm.nih.gov/gene/?term=283337,regulation of transcription DNA-templated
ZNF740,zinc finger protein 740,https://www.ncbi.nlm.nih.gov/gene/?term=283337,metal ion binding
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,molecular_function
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,mitochondrion
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,mitochondrial outer membrane
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,activation of cysteine-type endopeptidase activity involved in apoptotic process
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,integral component of membrane
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,cytokine-mediated signaling pathway
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,type I interferon signaling pathway
IFI27,interferon alpha inducible protein 27,https://www.ncbi.nlm.nih.gov/gene/?term=3429,apoptotic signaling pathway
POU5F1,POU class 5 homeobox 1,https://www.ncbi.nlm.nih.gov/gene/?term=5460,sequence-specific DNA binding RNA polymerase II transcription factor activity
POU5F1,POU class 5 homeobox 1,https://www.ncbi.nlm.nih.gov/gene/?term=5460,endodermal cell fate specification
