gene_id_go,gene_description,geneLink,GO
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,zona pellucida receptor complex
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,ATP binding
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,nuclear heterochromatin
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,Golgi apparatus
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,centrosome
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,microtubule organizing center
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,chaperonin-containing T-complex
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,microtubule
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,plasma membrane
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,protein folding
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,spermatid development
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,binding of sperm to zona pellucida
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,cell junction
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,cell body
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,poly(A) RNA binding
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,unfolded protein binding
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,extracellular vesicular exosome
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,glutamate dehydrogenase (NAD+) activity
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,glutamate dehydrogenase [NAD(P)+] activity
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,ATP binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,GTP binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,cytoplasm
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,mitochondrion
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,mitochondrial inner membrane
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,mitochondrial matrix
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,glutamate biosynthetic process
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,glutamate catabolic process
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,glutamine metabolic process
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,long-term memory
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,response to aluminum ion
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,enzyme binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,substantia nigra development
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,positive regulation of insulin secretion
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,ADP binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,oxidation-reduction process
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,NAD+ binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,leucine binding
Glud1,glutamate dehydrogenase 1,https://www.ncbi.nlm.nih.gov/gene/?term=24399,tricarboxylic acid metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,tissue homeostasis
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,alditol:NADP+ 1-oxidoreductase activity
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,extracellular space
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,nucleus
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,nucleolus
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cytoplasm
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cytosol
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,monosaccharide metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,sorbitol biosynthetic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,response to water deprivation
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,response to organic substance
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,naphthalene metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,stress-activated protein kinase signaling cascade
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cell projection cytoplasm
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,paranodal junction
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,norepinephrine metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,mast cell granule
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,Schmidt-Lanterman incisure
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,glyceraldehyde oxidoreductase activity
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,daunorubicin metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,doxorubicin metabolic process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,positive regulation of JAK-STAT cascade
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,perinuclear region of cytoplasm
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,positive regulation of smooth muscle cell proliferation
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,oxidation-reduction process
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,maternal process involved in female pregnancy
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,extracellular vesicular exosome
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cellular response to hydrogen peroxide
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,inner medullary collecting duct development
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,response to thyroid hormone
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cellular response to methylglyoxal
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,Schwann cell microvillus
Akr1b1,aldo-keto reductase family 1 member B,https://www.ncbi.nlm.nih.gov/gene/?term=24192,cellular response to peptide
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,positive regulation of T cell mediated cytotoxicity
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,antigen processing and presentation of peptide antigen via MHC class I
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,immune response
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,cell surface
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,integral component of membrane
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,peptide antigen binding
RT1-M2,"RT1 class Ib, locus M2",https://www.ncbi.nlm.nih.gov/gene/?term=24988,MHC class I protein complex
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,MAPK cascade
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,JUN kinase activity
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,MAP kinase activity
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,protein binding
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,ATP binding
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,nucleus
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,cytoplasm
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,mitochondrion
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,plasma membrane
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,protein phosphorylation
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,JNK cascade
Mapk10,mitogen activated protein kinase 10,https://www.ncbi.nlm.nih.gov/gene/?term=25272,JUN phosphorylation
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,innate immune response in mucosa
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,structural constituent of ribosome
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,extracellular space
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,translation
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,antibacterial humoral response
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,cytosolic large ribosomal subunit
Rpl39,ribosomal protein L39,https://www.ncbi.nlm.nih.gov/gene/?term=25347,defense response to Gram-positive bacterium
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,integrin binding
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,structural molecule activity
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,structural constituent of cytoskeleton
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,cytoplasm
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,intermediate filament
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,response to wounding
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,positive regulation of Schwann cell proliferation
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,negative regulation of neuron projection development
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,astrocyte development
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,membrane
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,kinase binding
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,extracellular matrix organization
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,neuron projection regeneration
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,cell projection
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,cell body
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,intermediate filament-based process
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,intermediate filament organization
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,regulation of neurotransmitter uptake
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,Bergmann glial cell differentiation
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,positive regulation of glial cell proliferation
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,long-term synaptic potentiation
Gfap,glial fibrillary acidic protein,https://www.ncbi.nlm.nih.gov/gene/?term=24387,astrocyte projection
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,RNA polymerase II regulatory region sequence-specific DNA binding
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,DNA binding
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,intracellular
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,cell
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,nucleus
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,transcription DNA-templated
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,transcription from RNA polymerase II promoter
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,mitochondrial calcium ion transport
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,Golgi organization
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,G-protein coupled receptor signaling pathway
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,cell-cell signaling
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,calcium-mediated signaling
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,glucose homeostasis
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,protein homodimerization activity
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,positive regulation of transcription from RNA polymerase II promoter
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,intracellular distribution of mitochondria
Bhlha15,"basic helix-loop-helix family, member a15",https://www.ncbi.nlm.nih.gov/gene/?term=25334,cell maturation
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,negative regulation of transcription from RNA polymerase II promoter
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,DNA binding
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,nucleus
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,cytoplasm
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,transcription DNA-templated
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,sperm motility
Rhox5,reproductive homeobox 5,https://www.ncbi.nlm.nih.gov/gene/?term=24631,ectopic germ cell programmed cell death
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,molecular_function
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,cytoplasm
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,lysosome
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,lysosomal membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,endosome
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,late endosome
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,multivesicular body
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,vacuole
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,autophagy
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,granzyme-mediated apoptotic signaling pathway
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,external side of plasma membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,cell surface
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,endosome membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,integral component of membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,enzyme binding
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,protein domain specific binding
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,dendrite
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,cytoplasmic vesicle
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,vesicle
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,sarcolemma
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,melanosome
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,neuronal cell body
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,positive regulation of natural killer cell degranulation
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,cytolytic granule
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,positive regulation of natural killer cell mediated cytotoxicity
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,autophagic cell death
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,protein stabilization
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,phagolysosome membrane
Lamp1,lysosomal-associated membrane protein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25328,extracellular vesicular exosome
