gene,ADRG1,ADRG2,AORT1,AORT2,BFAT1,BFAT2
Anapc1,10.941,10.861,10.2695,10.2811,10.2352,10.3611
Ddb1,9.73085,9.68346,9.26429,9.32324,8.98165,8.76182
Golga7,6.44193,6.41558,6.18252,5.3427,4.28976,4.83943
Snora21,9.28881,9.25697,9.44829,9.521,9.13816,9.2531
Cdc42,11.6544,11.5297,10.9881,10.7722,10.5875,10.5119
Derl1,11.8375,11.9694,11.6756,11.6222,11.4471,11.669
Nat15,10.5004,10.5433,10.2518,10.1806,9.73178,9.95507
Mrps10,8.73066,8.59514,8.40121,8.36499,8.15523,8.47556
Gm10324,6.30707,6.23629,5.47165,5.38022,4.56001,5.01368
Eef1g,9.74263,9.73104,9.22084,9.1619,8.76888,8.73331
Nlrp4g,5.65122,5.55908,5.0085,5.14014,4.93261,4.6666
B020031M17Rik,6.82146,6.92456,5.95713,5.9869,5.92311,5.84253
Hjurp,8.26569,8.12736,7.75857,7.72613,6.94311,6.98082
L2hgdh,6.79988,6.96927,6.84448,6.63525,6.75148,7.0395
1700034H14Rik,7.69119,7.74204,8.02359,7.87145,8.01037,8.24253
AC225448.1,8.68422,8.53085,7.3577,7.31873,6.89994,7.01281
Snrnp40,8.00283,8.08822,7.33887,7.29595,6.80004,6.82725
Tlr5,7.01969,7.35963,7.34723,7.12408,7.29342,6.95061
CAAA01066805.1,8.08824,8.19459,7.56534,7.6476,7.20991,7.20687
2310009B15Rik,7.16538,7.05902,6.15283,6.27508,6.23412,6.39524
C86695,6.07528,6.084,5.54574,5.36827,5.50589,5.40699
Tomt,4.93601,4.84953,4.65304,4.90959,4.42605,4.34095
Tas2r122,4.72472,4.66645,4.45638,4.42211,3.97821,3.87568
Prkcg,5.95963,6.02242,6.52614,6.48618,6.34227,6.21544
Gm1337,5.9074,5.89645,5.79391,5.67535,5.78549,5.26226
Kdelr2,10.6569,10.7821,10.109,9.97927,9.38344,9.40868
Nkain1,7.65538,7.64589,7.07197,6.99453,6.98896,7.01595
Tmlhe,7.03608,7.04379,7.13805,7.11678,7.23162,7.51704
Cacng6,5.91619,5.90632,5.37103,5.54312,6.28139,5.97862
2310042D19Rik,6.13449,6.17708,7.94274,8.08449,8.18432,8.25802
Samd11,5.85623,5.78953,5.27,5.34551,5.12971,4.95356
Klhl17,8.08993,7.90752,7.68814,7.80164,7.17077,7.18492
Pglyrp2,5.93949,6.0443,5.53297,5.65105,5.3285,5.21525
Plekhn1,6.4281,6.33933,6.27139,6.28392,5.33043,5.36486
Ccdc82,7.47009,7.50485,7.3905,7.32435,6.51311,6.5264
Gm7073,4.17398,4.30696,3.92053,3.8766,3.58555,3.41758
Rhox5,5.74847,5.75846,5.17538,5.18831,4.95829,4.94704
Olfr152,5.00433,5.23194,4.38507,4.41815,3.87707,3.67577
Irgm1,8.06269,8.11515,7.13323,7.57869,7.09188,7.38885
Scamp5,7.98586,7.80953,6.68591,6.70844,6.22642,6.275
B4galt6,7.7155,7.67338,7.19018,6.98663,5.12176,5.20697
Nxt1,7.32965,7.2229,6.83322,6.83281,6.4669,6.51904
Olfr167,6.39315,6.58737,5.47915,5.32285,5.14332,4.98908
Vax2,6.35297,6.2218,6.29543,6.31657,5.96935,5.69852
Tsg101,9.09973,9.13637,8.43017,8.49868,8.35558,8.63616
Vmn2r70,4.93375,4.90398,4.29378,4.29364,4.21761,4.24969
Echdc1,9.10973,9.61877,9.39521,9.53277,9.41488,10.0537
Tcl1b5,6.62092,6.61837,5.37626,5.30426,5.54723,5.15176
Padi4,4.62132,4.70729,4.66879,4.67774,4.43563,4.37134
Neil3,5.29939,5.42126,5.20458,5.25407,4.87457,4.61633
Zfp503,8.11285,8.03113,6.7055,6.77053,6.61169,6.67625
Klhl2,8.19366,8.46776,7.4585,7.51308,7.67067,7.98481
Tpsb2,5.91648,5.96264,7.01681,6.79891,5.87954,5.77256
Setx,8.56645,8.65396,7.84844,7.84438,7.64095,7.77964
Rpe,8.92278,8.99417,9.11108,9.073,9.16435,9.61455
Olfr837,4.27943,4.48157,4.18582,4.04184,3.60497,3.73253
Actr3b,6.47091,6.47127,5.33331,5.35743,4.33292,4.33537
Mfsd11,8.36104,8.49842,7.93784,8.20163,7.58108,8.02971
Gm9821,5.31406,5.32846,4.79514,4.85194,4.48776,4.63653
Txlnb,6.18994,6.118,8.37504,8.40878,8.69255,8.32239
Tceb3,8.03081,7.96754,7.7338,7.65815,7.38944,7.65852
Vmn2r118,5.26931,5.49341,5.12877,5.26466,4.85797,4.78922
Arhgap5,8.81771,8.73863,8.53805,8.37527,8.16541,8.62407
BB014433,4.9804,4.76929,4.64891,4.68951,4.71338,4.71016
Mta3,10.8162,10.6059,9.46205,9.2319,8.85869,9.03858
Acsbg2,5.33903,5.36851,4.82453,4.83074,4.60294,4.48433
4930544G11Rik,4.71199,5.02197,4.58408,4.75863,4.60259,4.49853
Cd300a,6.95137,6.81456,6.28321,6.1646,5.83214,5.57733
Fblim1,7.50074,7.59809,10.3874,10.4516,5.99029,6.03227
Slc12a4,8.167,8.07851,7.68867,7.83035,6.69659,6.50394
Numa1,9.72967,9.55797,9.19594,9.1957,8.65543,8.67497
AC122357.1,5.48325,5.42606,5.2725,5.19956,5.18221,4.92146
Gm11225,5.50426,5.55531,5.67505,5.61352,5.69343,5.79094
Olfr221,5.22098,5.26895,5.13318,5.27444,5.17063,5.11961
Fam65c,6.10251,5.93303,5.758,5.68989,5.41843,5.2949
Dstn,10.6494,10.516,11.6398,11.5691,8.99568,9.0528
Thop1,6.85543,6.63494,6.09528,6.08959,5.64437,5.58781
Mcf2,4.78462,4.77159,4.44488,4.44575,4.28311,4.12985
Klrk1,4.81878,4.8456,4.42658,4.42491,3.96564,4.02912
Zcchc10,6.64802,6.70474,5.6537,5.45214,5.26331,5.50716
Olfr1474,6.27978,6.71919,5.97278,6.17059,5.585,5.58835
Cdk5rap2,7.27438,7.10354,6.50132,6.46549,6.03944,5.82784
Nhedc2,6.43598,6.4536,6.23482,6.2352,5.72992,5.45701
Polm,6.53337,6.15922,6.05942,6.13527,5.60557,5.7277
5930416I19Rik,7.46278,7.36834,6.96813,7.25727,6.63727,6.75205
Col17a1,6.16282,6.11345,5.78578,5.90203,5.78512,5.66881
Iws1,8.37997,8.25105,7.74886,7.64699,7.28668,7.33016
Eif4ebp3,7.90485,8.04676,7.52764,7.54573,7.20349,7.16516
Vmn2r115,5.68016,5.45883,5.43956,5.31594,4.95708,4.83273
Toe1,7.63633,7.61922,7.13629,7.07465,6.61618,6.71002
Stt3a,11.6264,11.7151,10.7366,10.6176,10.2404,10.2026
Tesk1,8.77142,8.76977,8.33619,8.52856,7.85253,8.07913
Scaf4,8.91152,8.91417,8.63303,8.5317,8.12338,8.18715
4933415F23Rik,4.82419,4.6807,4.96148,4.86199,4.73286,4.77427
Slc2a8,7.24291,7.20963,6.73979,6.90193,6.58694,6.75032
Gm7079,9.45221,9.18921,9.03297,9.0525,8.40242,8.60963
Amot,5.61556,5.60163,5.39816,5.26625,5.46635,5.43356
Tifa,6.19022,5.93141,5.37812,5.33674,5.06216,4.88389
Atp8a1,8.62578,8.64809,8.33259,8.16619,8.15816,8.26835
Ninj2,6.19343,6.26978,6.08549,6.06205,6.24165,5.85288
Gm5874,7.6428,7.13063,6.2779,5.37221,5.42415,6.04855
Pigg,7.67122,7.6912,6.87248,6.80156,6.78988,6.62171
Rap1gap,8.47573,8.35488,5.98734,5.86937,5.55732,5.45918
Gm10479,8.34935,8.09365,7.72002,7.62755,7.38863,7.62986
Plek2,5.08338,5.17961,4.72968,4.88472,4.65077,4.61229
Mgat4c,7.79023,7.6319,4.99817,4.91325,4.36239,4.18042
Hnrnpl,9.24956,9.33663,8.70927,8.7584,8.19281,8.34874
Olfr1272,6.17924,6.36935,5.94146,6.1288,5.41124,5.14639
Plekhm1,7.77194,7.79272,7.81146,7.87919,7.3324,7.6271
Cckar,6.10888,6.16519,5.22025,5.53966,4.92475,4.77486
Col10a1,5.57849,5.38856,5.0488,5.00871,4.97423,4.85438
S100a6,6.54345,6.37054,7.9516,7.9294,6.01622,6.30351
Mudeng,8.3357,8.14623,7.91785,7.58435,7.41176,8.00794
Gucy2e,4.97252,5.15635,5.02926,4.94838,4.73632,4.67769
Prr9,4.36457,4.54065,4.3903,4.40962,4.0032,4.08996
Haao,6.05739,6.0931,5.33561,5.46007,4.97874,4.97873
Cpeb1,7.81873,7.82039,7.50728,7.16841,6.88039,6.86438
Os9,9.75372,9.71386,8.55225,8.41793,8.04446,8.0185
Pcolce,11.9847,11.9501,9.90797,9.69452,8.33202,8.32672
Fam46c,7.01099,7.28151,7.92061,8.28154,6.2534,6.16178
Def6,6.02286,5.97843,6.07341,6.26309,5.65232,5.50028
Asb18,5.70953,5.75378,5.66197,5.82093,5.69439,5.79388
Syt6,5.98226,5.65287,5.34831,5.57238,5.05657,4.9163
Olfr1031,5.78168,6.01491,5.19522,5.4436,5.32003,5.1405
Olfr945,4.64278,4.8561,3.94829,4.16183,3.89229,3.77064
Gm216,5.39537,5.35549,5.49658,5.37229,5.36755,5.26092
Derl2,8.97183,9.16105,8.19736,8.15873,7.98305,8.06226
Gm13888,4.1014,4.0063,3.82115,3.86924,3.32801,3.31269
Gm7092,6.13755,6.02285,5.59435,5.70198,5.54595,5.22131
Zmat5,8.09959,7.89884,7.18668,7.35605,6.6964,6.83717
Tm6sf2,6.15683,6.24,6.03942,6.13205,5.64284,5.73279
Pon1,7.71062,8.2878,10.0925,10.0193,8.42114,8.94562
BC089491,5.77567,5.75839,4.90775,4.94081,4.65826,4.42509
Olfr728,7.53626,7.35564,6.55539,6.72152,6.2338,5.97859
CT025673.2,7.92723,7.96405,6.85979,6.85785,6.26668,6.26393
Umod,5.21828,5.17264,4.8552,4.91662,5.42879,4.5499
Gm9978,7.20764,7.02887,6.90724,6.77448,6.63231,6.45529
Nlrp4f,4.27565,4.28109,4.05183,4.01637,3.65817,3.40864
Mirlet7d,7.65172,7.6796,7.68463,7.40827,7.24168,7.05147
Olfr582,6.02588,6.07441,5.65539,5.60209,5.25428,4.94547
Nfrkb,8.00133,7.92761,7.53702,7.52401,7.15903,7.1397
Asb7,7.00824,6.96778,6.43078,6.12273,5.64436,6.05041
Cks1b,8.93035,8.73737,7.41253,7.32439,6.68304,7.0609
Fer1l5,4.83703,4.84922,4.3717,4.422,4.2427,4.15505
S1pr5,6.03725,5.89858,6.3233,6.53723,6.11734,6.24969
Ankrd10,8.30965,8.1708,7.62308,7.73102,7.0549,7.14256
Slc35f4,5.34555,5.4172,5.14105,5.01162,4.76189,4.73974
Snx30,6.76844,6.89633,6.49977,6.56246,6.03026,6.02732
Gm4950,5.01605,5.20133,4.814,4.88768,4.48475,4.4501
Med21,8.05464,8.07704,7.53476,7.25425,7.04443,7.09321
Sclt1,6.8165,6.56939,5.93819,5.91503,5.3629,5.52938
Kirrel,7.72037,7.59669,7.815,7.79395,6.43713,6.30479
Mtmr6,9.03888,9.12173,8.65417,8.29756,7.99726,7.99574
Wdr93,5.15315,5.43267,5.95272,6.2651,5.65806,5.95569
Gm9877,4.35959,4.29575,3.97741,3.91433,3.5802,3.488
Nmur2,5.0741,4.85232,4.68274,4.73237,4.46444,4.43681
Olfr61,6.14829,6.11482,5.37749,5.59335,5.12819,5.06787
Slc47a1,6.15977,6.30868,6.70803,6.60965,6.07235,5.8331
Serpinb11,4.26893,4.28504,4.11673,4.03453,3.65818,3.41986
Gja8,5.44574,5.39817,4.99158,4.97062,4.73545,4.61014
Ccdc65,4.82696,4.75429,4.34958,4.524,3.9763,3.79947
Mkrn3,4.90163,4.8578,4.23717,4.37105,4.17902,3.86109
Dennd5b,7.49583,7.60862,7.73879,7.48536,7.04667,7.20426
Mmp8,4.41519,4.44397,4.04419,3.99965,3.74921,3.67917
n-R5s205,4.92809,4.98576,4.46894,4.53123,4.64403,4.56187
Snora28,8.829,8.61973,8.43464,8.45243,7.96098,8.42303
1700016H13Rik,4.87279,4.85566,4.3242,4.31906,4.01887,3.86641
Gm13181,8.42592,8.75467,8.3189,8.30896,8.19808,8.01596
4930506M07Rik,8.0076,8.0694,7.58705,7.64429,7.72051,7.93709
Pfpl,4.70027,4.77253,4.45352,4.41026,4.2743,3.96343
Npr2,9.0122,8.8398,8.76513,8.75489,7.6528,7.68059
Pdcd7,6.32245,6.42857,5.91552,5.71711,5.70049,5.75702
Gm3765,4.54207,4.57917,4.3549,4.36596,4.20588,3.99278
Gch1,8.15419,8.16478,5.38997,5.00148,4.37949,4.58547
Pafah1b1,8.9902,9.02891,8.40839,8.43544,8.23126,8.27687
Kif3a,7.3241,7.04256,6.33584,6.33017,5.81124,5.80698
Txlna,8.66885,8.48435,7.7367,7.86733,7.01155,7.23435
Rec8,7.21942,6.93912,5.37765,5.4662,5.02632,4.86878
Barhl2,5.48574,5.45297,5.5453,5.6257,5.16339,5.02721
Pparg,9.28596,10.2163,11.3153,11.2651,11.4843,11.5302
Trove2,8.56562,8.65403,7.89943,7.77975,7.23078,7.23569
Sipa1l3,8.48289,8.30663,8.04151,8.17519,7.61527,7.5737
AC169674.42,4.17814,4.16288,3.78639,3.89765,3.37572,3.21189
Pfdn5,9.56928,9.17758,8.81552,8.78498,8.2015,8.32777
Calm4,5.56218,5.59443,5.11179,5.27367,4.94297,5.01344
Fancl,7.07356,6.89623,6.10358,5.9266,5.49025,5.62699
As3mt,9.57807,9.49576,6.46624,6.59128,6.66999,6.95927
Il1f6,4.53038,4.54226,4.22379,4.25758,3.57417,3.58296
Far1,8.69845,8.64886,8.22446,7.96957,6.94033,7.07269
Wbscr25,4.97284,5.02646,4.46312,4.5083,4.32137,4.34302
Cpz,6.4707,6.44137,6.36533,6.40368,5.52321,5.49869
Fam48a,9.05902,9.21283,8.5168,8.56519,7.75926,7.99658
Lcn4,4.17817,4.20623,4.01374,3.86278,3.61217,3.50876
Igf2,7.0615,6.98278,6.64718,6.82785,6.30718,6.26943
Sprr2g,4.57113,4.544,4.11583,4.31372,3.80144,3.62449
2410016O06Rik,6.06368,5.92249,5.25911,5.34156,4.84539,4.9508
Uba1,11.3546,11.2645,10.4833,10.4754,10.2187,10.3404
Add2,5.35184,5.08232,4.90125,4.87344,4.54506,4.27859
Mmp2,8.54811,8.51475,9.66887,9.37094,8.85054,8.86814
Klhl28,7.70525,7.86277,7.39909,7.38665,7.07198,7.17365
3110009E18Rik,6.11796,6.02993,5.71996,5.52361,5.18595,5.13908
Ing5,8.14677,7.91817,7.6216,7.39112,6.84228,6.79949
Dnase2a,7.51845,7.37408,6.86686,7.04825,6.53078,6.59558
Awat2,5.10442,5.08081,4.42295,4.59775,4.40522,4.47126
Wdr96,4.67607,4.60095,4.25277,4.36418,3.87151,3.79006
AU016765,6.16437,6.23386,5.65733,5.72545,5.67228,5.41164
Afap1l1,6.69481,6.70189,6.82226,6.75995,7.00919,6.78158
Uqcrq,9.47593,9.58973,10.4444,10.6791,10.5329,10.6645
Tsr1,7.83372,7.95711,7.19785,7.12335,6.36091,6.56036
Kdr,9.9456,9.96012,9.25291,9.10603,9.60351,9.51953
Gm11624,5.988,5.8552,5.50301,5.64243,4.98865,5.0629
Alox12e,5.13145,5.27513,4.80922,4.85146,4.49704,4.51158
AC131120.1,6.04517,6.36724,6.09973,6.10969,6.0638,6.09886
Csgalnact2,8.46973,8.42138,8.24773,8.19593,7.09669,7.19325
Gm6682,10.5736,10.3622,9.03694,9.18339,8.45511,8.38953
Taf13,6.29022,6.5727,6.14129,6.47028,6.09945,6.15181
Prickle4,6.17271,6.32425,5.94698,6.22115,5.91758,5.98976
2410066E13Rik,6.93753,7.00106,7.47091,7.02205,7.27672,7.05822
9030425E11Rik,6.65325,6.67768,7.58094,7.73379,6.06434,6.03333
Coq10b,8.93636,8.7892,7.73161,7.65906,7.41249,7.76544
Gimap8,6.67267,6.60346,6.17428,6.20672,6.4483,6.26066
Nde1,8.37156,8.22162,7.38977,7.52432,6.8523,6.99397
Zfp1,7.4836,7.32048,6.6884,6.73848,6.39605,6.46637
Gemin5,7.94075,7.83527,7.2188,7.33271,6.63777,6.71952
Gm12945,6.03916,5.92186,5.79137,5.71653,5.46899,5.29948
Efna3,5.20831,5.08182,4.80357,5.24461,4.27401,4.0924
Mir375,6.20386,6.1829,6.36909,6.26388,6.122,5.89905
Tmem88b,5.51942,5.59515,5.68463,5.75815,5.80071,5.66246
Ucn2,5.65384,5.90886,5.46064,5.48655,5.14741,4.9331
Fam189a2,7.33867,7.24071,7.00388,7.10182,6.88089,6.74092
Cnot2,9.3634,9.30805,8.65344,8.45487,8.22735,8.44401
Tmem128,7.93571,7.83236,7.82409,7.84636,7.74959,7.85997
Icosl,7.87504,7.81467,6.61013,6.33265,5.01425,5.1979
Slc25a28,8.36579,8.35127,7.70219,7.87947,7.74029,7.70654
Enpp4,8.38402,8.30778,7.89812,7.79818,7.84551,7.83995
Col6a1,9.33232,9.12844,8.69101,8.67559,7.55225,7.78223
Hk3,5.82536,5.86216,5.35191,5.38367,4.77493,4.65539
D730039F16Rik,4.62484,4.68446,4.21592,4.23411,4.05163,4.14916
Fam75d3,6.23073,6.19711,5.35842,5.47509,4.95954,4.87081
Amz2,8.09795,7.99311,7.91366,7.95866,7.55112,7.64168
B130006D01Rik,6.47209,6.33036,5.45585,5.41534,5.25928,5.18845
Vill,6.05605,6.09694,5.7214,5.82215,5.34762,5.12145
Inha,8.70828,8.63274,6.04841,6.14377,5.314,5.08663
Gm6226,8.19851,8.12971,7.3066,7.33753,7.18309,7.19297
Clec2j,5.15575,5.16089,5.56123,5.29436,4.75799,4.80123
Nrsn2,7.85467,7.77028,6.7316,6.27215,6.26139,5.96697
Gcnt2,7.24732,7.22599,8.0403,8.02511,6.46286,6.25685
Trdmt1,7.54569,7.49138,7.49154,7.20513,6.63508,6.54239
Snx15,8.42575,8.42593,7.4954,7.51603,7.38242,7.66761
Aen,7.00901,6.94308,6.16505,6.31342,5.98583,5.79559
Tpbpb,4.07427,4.03965,3.56856,3.4847,3.16075,3.10702
Gm10729,5.80474,5.68703,5.11842,5.1004,5.01247,4.96328
Retnlb,4.35216,4.42972,4.42858,4.36467,3.88518,3.69475
Gpx3,10.4866,10.6197,12.449,12.1657,12.3594,12.2647
Tyrobp,8.39162,8.32002,7.50042,7.54247,6.51294,6.68479
Olfr70,6.19368,6.12753,5.53487,5.70923,5.24652,5.14603
Fam135b,6.03412,5.87576,4.91974,5.07031,5.09304,4.98927
Neu3,6.41288,6.49052,6.11071,6.22895,5.92664,5.72678
Ppp1r13l,6.49216,6.42889,5.99037,6.22114,5.79653,5.69585
Olfr1349,6.40472,6.55982,6.05866,6.15266,5.8219,5.53417
Asb11,5.04564,5.08468,5.47188,5.67808,6.13198,5.47697
Clec2g,5.06581,5.2712,5.2346,5.12855,4.64039,4.77934
Mme,7.0737,8.01402,9.80462,9.8611,10.1261,10.3774
Hras1,7.97117,8.09484,7.73677,7.86768,7.52236,7.49383
Hnrnpul1,9.74161,9.62128,9.32935,9.36998,8.94281,9.06812
Vmn2r23,4.72512,5.00088,4.39903,4.34459,3.83619,4.0492
Hsf2bp,5.57013,5.53372,5.12936,5.11918,4.18457,3.96857
Gm7091,10.5984,10.5282,9.9674,9.91867,9.85163,9.61469
Krtap16-4,7.78129,7.7379,7.48644,7.48089,7.03105,6.92277
Zfp277,8.34072,8.06559,7.58525,7.58718,6.84421,7.14912
Lrrc4b,8.08266,7.82967,7.21455,7.25032,6.81368,6.58554
Gm6588,5.34418,5.25034,5.00143,5.22696,4.85167,4.64047
Olfr629,5.04705,5.0057,4.5503,4.61977,4.49744,4.14307
Frmd5,8.98893,9.15271,5.63286,5.51503,4.97161,5.02807
BC003331,8.44362,8.39505,7.96589,7.94283,7.39733,7.79934
Snrpa,9.74629,9.72051,8.896,8.95033,8.75593,8.56738
Mettl17,7.23431,7.05266,6.62508,6.82229,6.30558,6.34041
Aoah,6.69987,6.81852,5.63165,5.46102,4.98119,5.04491
Akap1,8.9013,8.90243,9.87531,9.93461,10.2032,10.2395
Ptov1,9.79505,9.71994,8.83838,8.9313,8.1269,8.21456
Sh3gl3,6.59369,6.36784,5.26309,5.15451,4.54279,4.60929
Fras1,6.22581,6.29675,6.36246,6.32656,6.15473,5.64801
Spink4,5.73107,5.60018,5.64952,5.49928,5.23626,4.96895
Glis3,7.72611,7.96332,5.50915,5.38883,5.39691,5.59935
Ly6g,4.86959,5.03308,4.62246,4.49431,4.12396,3.94474
Olfr524,7.1223,7.00527,6.8252,6.60924,6.46905,6.23378
Lamb1,9.24942,9.35247,8.35328,8.26689,8.22896,8.294
Trim25,9.7739,9.67741,7.31512,7.14579,7.2157,7.524
Faf1,8.60304,8.53021,8.57113,8.5479,8.19876,8.49544
Qtrt1,7.72032,7.53447,6.95485,6.94809,6.77424,6.67229
Dhx9,9.457,9.50082,8.8306,8.6322,8.56704,8.46271
Ldb3,6.26681,6.22952,8.47672,8.7461,8.66537,8.33519
Lpar4,6.69162,6.85956,6.81303,6.58389,6.49269,6.6834
Vasn,6.44833,6.40635,6.91731,7.10342,5.75079,5.80869
Eif2c1,8.56558,8.45859,7.73551,7.96736,7.0151,7.15066
Fbxo2,6.12834,6.0117,5.45714,5.41655,4.85911,4.65839
Ms4a4d,7.66294,7.9901,7.27896,7.13232,6.83067,6.92059
Pacsin3,6.93354,6.85724,6.14762,6.384,5.85892,5.8169
Cmbl,10.6147,10.6413,9.12277,9.26083,9.32755,9.87307
Trim16,6.56882,6.56117,7.67834,7.40481,7.59808,7.35244
Scnn1a,5.61249,5.93121,5.01496,5.05467,4.5614,4.64732
Grb10,9.29635,9.04224,7.9777,7.84463,7.1477,7.2759
Cotl1,7.44263,7.4927,6.77396,6.85035,6.47089,6.4748
Srrm3,6.31568,6.2425,5.80354,5.86288,5.55763,5.38388
Bag3,9.68283,9.51488,8.8403,8.78631,7.97279,7.88531
9330160F10Rik,6.86209,6.95186,6.00617,6.15303,5.91509,5.82485
Rnase11,5.62638,5.68833,5.4958,5.49928,4.797,4.62709
