gene,STOMACH1,STOMACH2,STOMACH3,SALIVARY_GLAND1,SALIVARY_GLAND2,SALIVARY_GLAND3
AASDH,649,426,588,791,984,756
AASDHPPT,1545,933,1105,1620,1706,918
AASS,2534,1621,2321,2108,3865,1896
AATBC,71,37,26,68,73,171
AATK,3003,1098,1049,487,1813,1003
PVALEF,2,0,0,0,0,2
ABAT,1376,421,1404,1403,1155,544
ABCA1,3608,2174,1475,8710,8281,4942
ABCA10,2431,968,1153,1053,5767,4708
ABCA11P,117,31,69,95,143,131
ABCA12,2,1,0,4,0,0
ABCA13,2,2,4,2,7,0
ABCA17P,24,23,10,21,27,15
ABCA2,6692,3194,3856,6306,7403,6031
ABCA3,1483,2018,3177,3245,2897,1422
ABCA4,38,26,23,12,80,36
ABCA5,2255,1130,870,1382,3488,2336
ABCA6,2777,2467,2634,2995,10541,4164
ABCA7,972,301,445,753,920,1251
ABCA8,6305,6498,4988,4927,22250,8645
ABCA9,6163,3511,3106,2800,15972,8721
ABCA9-AS1,0,0,1,0,0,0
ABCB1,1396,220,77,223,1182,555
ABCB10,1235,990,1469,1730,1753,1125
ABCB11,17,0,2,2,95,53
ABCB4,183,45,49,120,48,109
ABCB5,2,0,2,17,72,5
ABCB6,440,508,674,497,359,305
ABCB7,1218,840,925,1008,1520,797
ABCB8,1690,2194,2157,1486,1544,1650
ABCB9,843,438,542,707,648,825
ABCC1,2096,3743,4973,2784,2982,2974
ABCC10,1364,1925,2077,1707,1568,1825
ABCC11,7,2,2,0,6,2
ABCC12,3,5,1,0,5,0
ABCC13,2,0,0,0,0,4
ABCC2,123,83,116,104,180,285
ABCC3,356,2867,2046,1953,1146,3425
ABCC4,676,728,425,360,1254,694
ABCC5,7254,3217,3847,4103,4023,6653
ABCC5-AS1,0,0,0,0,2,0
LOC105369239,79,46,53,96,215,175
ABCC6P2,0,2,2,2,6,6
ABCC8,103,6,3,16,67,88
ABCC9,4488,1968,1290,2065,8981,2911
ABCD1,1285,950,1841,2487,2147,1366
ABCD2,180,75,116,65,188,96
ABCD3,2702,2061,2605,2631,2822,2259
ABCD4,2078,1820,1828,1870,2709,3951
ABCE1,2023,2815,2018,2155,3308,2090
ABCF1,3454,4618,5780,3471,3901,3185
ABCF2,2424,4601,3862,2617,3162,2515
ABCF3,2766,2454,2564,2084,2890,2293
ABCG1,1070,687,856,1489,1126,900
ABCG2,727,208,168,331,583,146
ABCG4,84,24,16,22,58,91
ABCG5,9,12,10,0,5,3
ABCG8,6,2,0,0,0,8
ABHD1,31,14,16,14,86,59
ABHD10,1696,698,923,1253,1304,1211
ABHD11,786,755,570,482,563,790
ABHD12,1795,1950,2511,2263,2628,1573
ABHD12B,24,3,7,20,26,32
ABHD13,1112,905,909,1425,1699,1080
ABHD14A,725,346,550,634,1057,754
ABHD14B,2335,1693,1829,4090,5202,2879
ABHD15,656,323,743,701,926,566
ABHD16A,1943,2212,2359,2350,2593,1966
ABHD16B,204,213,243,217,283,373
ABHD17A,4293,2824,4284,4083,5610,5933
ABHD17B,723,403,509,1037,949,609
ABHD17C,203,136,199,346,349,406
ABHD18,1638,473,553,730,998,1070
ABHD2,5162,8359,9349,7295,4971,2743
ABHD3,695,493,949,1059,723,755
ABHD4,1833,3928,6441,5177,2974,2257
ABHD5,605,1019,633,457,897,422
ABHD6,898,410,782,636,1144,504
ABHD8,425,587,663,1150,922,631
ABI1,2306,2484,3319,3427,3712,3066
ABI2,4072,3134,3863,4018,4418,2822
ABI3,1012,344,390,604,727,762
ABI3BP,3893,8900,16832,9666,17630,8427
ABL1,4997,15838,13738,10002,11214,7535
ABL2,1805,2351,2271,2013,2739,2155
ABLIM1,35354,6100,6706,4901,17962,8677
ABLIM2,402,897,517,290,504,584
ABLIM3,11505,2550,3318,2861,8554,4283
ABO,31,35,10,18,145,93
ABR,12929,7978,18121,14034,12757,8668
ABRA,1354,26,155,38,22,52
ABRACL,543,352,292,514,631,549
ABT1,929,622,1020,1207,1446,1056
ABTB1,4755,2707,5684,8732,5616,4786
ABTB2,717,1024,999,687,1103,514
LOC105373100,15,5,1,3,43,17
LOC101928333,2,0,0,0,0,0
LOC100506682,0,0,0,0,0,0
LOC105375401,0,0,0,0,0,0
LOC105369980,2,0,0,0,2,0
LOC101927497,1,1,0,4,0,0
LOC105377480,0,0,0,0,0,0
LOC101928012,0,0,0,0,0,1
LOC100506178,27,8,4,2,39,120
LOC401312,2,0,4,0,0,8
LOC102724360,6,8,4,8,4,9
LOC100505782,0,0,0,7,0,0
LOC101927378,0,0,0,0,0,0
LOC102723885,3,1,2,1,5,3
LOC105371506,0,0,0,0,0,0
LOC107984895,58,4,4,4,13,24
MGC20647,1,0,4,0,33,14
LOC101927253,0,0,0,0,0,0
LOC105375483,0,0,0,0,0,0
LOC102724009,26,17,13,16,13,20
LOC101928336,0,0,0,0,0,0
LOC101927550,124,222,260,167,224,152
LOC101928733,0,1,2,0,6,2
LOC100506289,61,0,0,25,4,72
LOC100133091,87,137,186,208,114,147
LOC101927870,6,2,0,7,15,2
LOC101927420,33,9,16,27,28,28
LOC100506098,0,0,0,13,4,19
LOC107986703,0,0,0,0,0,0
LOC100506497,124,8,22,24,73,65
LOC646588,86,64,241,711,844,150
LOC100129935,0,0,0,0,0,0
LOC105372476,20,23,25,59,49,98
LOC100996351,5,0,4,0,2,11
LOC101928418,3,0,3,6,4,0
LOC100128006,24,87,196,106,20,36
LOC105375614,6,14,6,6,24,3
LOC101928982,12,7,1,24,5,17
LOC105375556,0,0,0,0,0,0
LOC105375166,162,45,61,11,34,20
LOC101928266,2,5,0,2,12,8
LOC105371592,9,1,0,3,1,4
LOC101927755,52,6,9,3,31,8
LOC102724927,28,81,114,114,99,102
LOC101927855,2,8,41,44,4,5
LOC102725254,0,0,1,7,8,1
LOC101928475,0,0,0,0,0,0
LOC105372672,0,0,0,0,0,0
LOC101929549,8,2,3,1,7,0
LOC105274304,9,2,2,5,8,0
LOC101927531,0,9,0,0,4,2
LOC101928700,0,0,0,0,0,0
LOC100996671,0,0,0,0,0,0
LOC101927356,0,2,4,4,2,0
LOC101928063,14,5,23,26,10,19
LOC100505715,54,19,20,43,75,52
LINC02493,0,0,0,6,2,0
LOC101929054,4,6,8,9,6,17
LOC93429,2,2,20,54,2,1
LOC102724555,3,0,0,0,0,0
LOC101927914,2,0,2,3,2,6
LOC100505588,0,0,0,2,0,0
LOC100287834,0,0,0,0,0,0
LOC100288866,8,4,12,9,23,31
LOC101927151,98,100,160,200,102,185
LOC101927884,0,0,0,0,0,0
LOC101927795,0,3,0,0,0,1
LOC102724153,0,0,0,0,2,0
LOC102723373,0,2,0,0,0,4
LOC102725532,0,0,0,0,0,0
LOC339807,0,0,0,0,0,0
LOC728730,250,365,256,462,506,314
LOC101927533,5,7,10,6,5,9
LOC730100,0,0,0,0,0,0
LOC102723544,0,0,0,0,0,0
LOC101929384,0,0,0,0,1,1
LOC643711,18,9,6,0,29,4
LOC101927539,0,0,0,0,0,0
LOC101927557,0,0,0,0,0,0
LOC101929551,0,0,0,0,0,0
LOC283856,12,28,44,49,61,47
LOC105373876,0,0,0,0,2,1
LOC101927272,37,47,122,69,129,206
LOC101929162,35,4,8,5,24,18
LOC284865,18,0,5,0,17,14
LOC100506314,27,72,187,51,54,126
LOC100129434,303,47,53,56,194,127
LOC400684,2,10,13,9,7,13
LOC105372352,6,4,5,8,10,4
LOC101929106,0,0,0,1,2,3
LOC101927196,16,0,9,30,14,29
LOC100128164,2,2,0,5,0,1
LOC105374328,4,1,3,11,18,7
LOC101927402,31,10,17,19,26,18
LOC102725072,17,10,9,13,16,28
LOC100128317,2,0,0,6,0,2
LOC101929148,0,0,0,0,0,0
LOC101929529,2,1,1,0,2,0
LOC100996419,88,94,55,185,135,141
LOC100268168,11,23,42,23,24,34
LOC102723540,23,7,1,7,24,23
LOC105379143,4,0,6,0,1,3
LOC105372397,0,0,0,0,0,3
LOC285593,35,48,22,35,48,40
LOC102724404,11,18,33,10,251,36
LOC101059948,1,2,0,0,1,2
LOC285626,0,0,0,0,1,2
LOC101928464,134,60,144,145,165,135
LOC100505658,6,0,0,0,0,4
LOC257396,157,67,41,165,154,82
LOC100128398,578,282,494,553,632,584
LOC440386,31,34,16,48,30,10
LOC400541,463,383,270,651,617,308
LOC101927837,32,22,17,41,24,47
LOC105371049,10,15,11,25,12,34
LOC106660606,48,26,34,62,33,117
LOC102724163,7,14,32,47,8,21
LOC101928035,1,0,0,0,2,0
LOC105371083,0,0,0,0,0,2
LOC349160,35,0,0,0,0,0
LOC101929076,0,0,2,0,2,0
LOC100506606,196,31,49,90,59,119
LOC100506937,0,0,0,0,0,1
LOC100506302,85,72,35,139,137,114
LOC100132215,105,34,97,93,136,228
LOC101928782,0,0,0,0,0,0
LOC105369779,319,276,338,299,219,154
LOC105375744,0,0,0,0,0,0
LOC101928283,3,0,5,0,0,1
LOC102724058,2,0,0,2,1,0
LOC105373878,12,6,4,7,13,15
LOC374443,241,146,202,418,335,359
LOC645485,4,0,1,3,13,18
LOC339874,29,4,20,14,29,17
LOC100505622,6,0,0,12,5,4
SPRY4-AS1,2,30,13,7,8,8
LOC642366,4,0,0,2,2,25
LOC101928682,0,0,2,0,3,2
LOC101928659,4,2,2,23,9,15
LOC100129215,22,34,10,14,13,16
LOC390937,3,10,9,3,12,20
LOC400710,0,11,6,26,14,7
LOC101928295,1,4,4,13,12,11
LOC101929988,45,22,53,24,45,54
LOC102724691,0,0,0,3,0,0
LOC101928161,4,1,3,2,2,9
LOC283731,39,0,0,10,40,19
LOC101927987,0,0,0,0,0,0
LOC440934,18,27,14,31,50,74
LOC101928008,1,4,0,0,3,1
LOC339298,0,0,0,0,0,0
LOC102724612,0,0,0,0,0,0
LOC730338,0,0,0,0,2,0
LOC105378220,0,0,0,0,0,0
LOC105378231,2,2,0,18,64,47
LOC101929719,6,1,0,2,40,64
LOC100128568,2,3,2,3,2,8
LOC101929124,1,0,2,2,2,4
LOC105372273,107,87,54,68,88,94
LOC284395,0,0,0,0,1,0
LOC284379,0,0,0,0,0,2
LOC105372419,10,2,3,30,19,21
HDGFL2,1787,2107,2761,3429,2458,2496
DDN-AS1,2,4,2,2,10,8
LOC102723322,5,4,2,7,0,6
LOC107985133,0,0,0,2,3,1
LOC100507600,0,0,0,0,0,0
LOC100506585,80,14,11,88,59,144
LOC101929570,0,0,0,0,0,0
LOC101927534,0,0,0,0,0,0
LOC101928731,90,13,14,52,488,21
LOC101928000,58,62,49,92,95,91
LOC100506083,61,25,24,40,33,18
LOC105372483,9,1,12,14,19,14
LOC101929415,5,0,2,1,6,4
LOC101928271,0,0,0,0,0,0
LOC101929333,18,17,22,23,23,44
LOC102724849,1,9,20,28,0,0
LOC105369911,13,10,5,2,4,2
LOC101927948,0,0,0,0,0,0
LOC151484,0,0,0,2,0,0
LOC100288123,164,172,159,173,172,260
LOC101927596,0,0,4,2,0,2
LOC105373496,9,0,0,1,0,0
LOC105373525,0,0,0,0,0,0
LOC100506274,3,2,1,4,23,20
LOC102725191,0,0,0,0,0,0
LOC101926908,0,0,0,0,0,0
LOC102467222,0,0,0,0,0,0
LOC100506082,0,2,2,0,6,0
LOC101927751,73,132,40,36,233,167
LOC105376594,0,0,0,0,0,0
LOC101927666,0,2,0,0,0,0
LOC101928988,9,1,0,5,0,2
LOC101927911,1,2,0,0,0,0
LOC100287015,111,74,90,281,68,191
LOC105371899,0,0,0,0,1,2
LOC101928855,0,9,1,2,0,0
LOC105372069,0,0,0,0,0,0
LOC100631378,14,7,9,11,19,23
LOC101928622,0,0,0,0,1,2
LOC339803,248,147,163,276,362,197
LOC151174,80,34,30,77,42,61
LOC105378499,2,0,0,0,2,5
LOC105379391,0,0,0,0,0,0
LOC100996842,114,106,194,339,271,189
LOC101928185,0,0,0,0,0,0
LOC101928386,4,5,9,8,10,12
LOC102724452,0,0,0,0,0,0
LOC105370954,0,0,0,0,0,0
LOC101928943,6,2,3,3,1,7
LOC101927989,39,13,7,5,24,13
LOC102724532,400,83,92,173,88,76
LOC101930085,579,591,590,615,783,288
LOC100506142,36,46,62,41,103,48
LOC101928557,4,0,0,0,0,1
LOC105372028,0,0,1,0,5,0
LOC399886,0,0,0,0,0,0
LOC105377348,53,60,61,57,70,32
LOC105376490,0,0,0,0,0,0
LOC105374461,0,0,0,0,0,0
LOC100130691,202,112,92,110,138,221
LOC101927630,0,1,2,0,0,5
LINC02494,0,0,0,0,0,0
LOC101928254,0,0,0,0,0,0
LOC375196,9,4,2,12,9,12
LOC101927482,5,0,0,19,2,10
LOC100506869,1,0,0,2,2,0
LOC105372482,208,133,225,230,182,175
LOC284454,1924,563,3306,2030,2284,2914
LOC101929574,0,0,0,7,1,11
LOC100049716,526,261,230,512,537,350
LOC100507389,0,0,0,1,0,2
LOC100379224,15,37,36,32,29,14
LOC101929172,0,2,0,0,0,0
LOC105371824,0,7,0,4,3,15
LOC101929341,0,0,0,0,0,0
LOC101928100,14,4,9,21,26,19
LOC100507373,245,132,209,173,338,331
LOC101929524,0,0,2,0,1,4
LOC105379164,0,0,0,0,0,0
LOC100287042,41,29,24,20,49,63
LOC101928132,0,0,0,0,0,0
LOC105370586,0,0,0,0,0,0
LOC100130111,0,16,16,14,2,24
LOC102724623,0,0,0,0,0,0
LOC101926892,0,2,4,2,0,10
LOC101929128,5,4,0,0,2,2
LOC157273,2,0,0,0,4,0
LOC103312105,0,0,0,0,0,0
LOC101929268,4,2,1,6,15,10
LOC101927809,28,30,88,290,101,106
LOC101928052,0,0,0,0,0,0
LOC100652999,5,2,1,0,7,3
LOC100240734,2,2,0,0,0,2
LOC100240735,13,2,3,11,12,36
LOC105371789,1,0,1,0,0,0
LOC105374428,0,0,0,0,0,0
LOC101927018,18,8,12,8,16,16
HDGFL3,1918,2634,2661,2976,3311,1223
LOC101929552,1,3,0,0,2,2
LOC101928894,0,0,0,0,0,2
LOC101928844,0,0,0,0,3,0
LOC101928887,0,0,0,0,0,0
OVOS,13,9,2,12,23,8
LOC101929315,0,0,0,0,0,0
LOC105371849,1,2,1,2,2,2
LOC101927318,2,0,0,0,2,0
LOC648987,113,132,200,204,188,118
LOC153684,104,75,127,135,134,159
LINC02483,1,0,0,0,0,0
LOC105370829,0,0,0,0,0,0
LOC105372257,1,0,0,0,0,0
LOC105369187,5,1,12,4,11,13
LOC101929662,0,0,0,0,0,0
LOC100130705,154,32,31,76,49,249
LOC286177,0,0,0,0,0,0
LOC101927964,0,11,2,14,6,5
LOC440028,9,0,6,9,6,12
LOC574538,24,26,8,0,51,10
LOC101927310,2,0,0,0,0,0
LOC101929109,0,4,2,6,0,0
LOC101928651,0,0,0,0,2,2
LOC102723548,2,0,0,0,2,0
LOC102723335,3,0,0,0,3,3
LOC145694,11,43,296,127,56,95
LOC105377716,2,0,1,0,0,1
LOC100131655,16,19,55,38,34,59
LOC105375929,0,0,0,0,0,0
LOC105379194,2,0,2,3,0,7
LOC101927040,4,0,0,5,1,0
LOC101929237,19,0,4,2,0,0
LOC100131303,0,2,0,0,0,0
LOC105755953,0,0,0,0,0,0
LOC106699570,18,4,4,4,2,1
LOC283299,0,0,6,0,4,0
LOC101929457,55,0,0,4,0,33
LOC105370868,2,2,8,7,2,4
LOC101928134,0,0,11,0,13,34
LOC100289656,3,8,0,5,4,4
LOC101928674,4,19,3,2,13,13
LOC101928111,29,7,17,48,12,44
LOC107987500,0,0,0,0,0,0
LOC101928517,5,2,0,0,1,7
LOC101928343,6,2,2,6,10,60
LOC100506474,12,21,9,22,30,30
LOC108783654,159,206,202,257,255,191
LOC105373805,1,0,0,0,0,3
LOC101929488,0,0,0,0,0,0
LOC105375650,2,8,2,0,0,10
LOC284241,0,1,0,0,1,0
LOC101929452,0,0,0,1,3,8
LOC101927877,0,0,0,0,0,0
LOC105371907,0,4,0,2,0,3
LOC101929058,0,2,0,0,0,0
LOC105370802,0,0,0,0,0,0
LOC101926911,6,0,6,6,12,4
LOC221122,0,0,0,0,0,0
LOC283335,859,1306,1639,2767,2590,1826
LOC105369971,7,1,2,2,1,12
LOC100131635,2,4,5,2,0,4
LOC541472,2,34,51,4,12,81
LOC102724434,8,6,6,10,7,2
LOC285889,2,0,0,0,31,8
LOC105378349,0,0,0,0,0,0
LOC107985899,0,0,1,12,3,5
LOC102724421,0,0,0,0,0,0
LOC150776,2716,1274,1243,3869,3487,2418
LOC101928597,1,0,0,0,0,0
LOC105374205,0,0,0,0,2,2
LOC101928201,0,0,0,0,0,0
LINC02499,0,0,0,0,0,0
LOC101928739,0,0,0,0,0,0
LOC440084,0,0,0,0,0,1
LOC400655,0,2,0,1,2,9
LOC101929759,35,15,59,136,0,19
LOC101927907,0,0,0,0,0,0
LOC101928978,0,0,0,0,0,0
LOC102724050,3,4,15,0,4,4
LOC100287944,2,3,3,1,3,4
LOC100505978,2,0,0,0,0,2
LOC102724908,2,4,0,4,12,0
LOC101928618,0,0,0,0,0,0
LOC285556,150,8,24,2,2,2
LOC101929897,1,0,0,2,4,4
LOC105375750,0,0,0,0,0,0
LOC105371022,4,2,4,2,21,17
LOC105376557,2,0,0,0,1,0
LOC105370024,0,0,0,8,8,4
LOC101928441,1,0,0,5,0,0
LOC101927727,4,2,5,4,10,4
LOC101928174,16,3,19,15,6,10
LOC100130950,75,55,71,75,116,66
LOC101927657,0,0,0,0,0,2
LOC105369921,0,0,0,1,1,0
LOC100507250,4,2,0,9,14,7
LOC494141,0,2,0,0,0,0
LOC401463,14,2,2,4,19,18
LOC100507464,0,0,0,0,0,0
LOC100507156,29,23,35,38,72,61
LOC105375843,0,0,0,0,0,0
LOC105372068,0,0,0,0,0,0
LOC105372038,0,0,0,0,0,0
LOC100507377,0,0,0,0,0,0
LOC101928725,17,5,20,9,32,10
LOC100129940,9,18,18,52,49,12
LOC105379374,0,0,0,0,0,0
LOC101927798,0,0,0,0,0,0
LOC400464,45,43,62,49,50,64
LOC729739,9,7,4,0,2,4
LOC100131315,0,1,2,0,0,4
LOC101927571,0,0,0,0,0,3
LOC101927588,11,4,4,2,0,8
LOC104613533,0,0,0,0,0,0
LOC102724710,0,0,0,0,0,0
LOC101929439,6,6,6,3,2,18
LOC100505797,0,0,0,0,0,0
LOC101559451,5,2,2,2,6,3
LOC101928144,0,0,0,0,2,0
LOC100131347,7,6,4,7,22,23
LOC102724596,4,4,2,4,4,4
LOC105374002,0,1,0,2,1,0
LOC101927476,4,63,18,6,14,4
LOC101927908,0,0,0,0,0,0
LOC102546294,34,15,26,19,9,15
LOC105373354,7,2,2,0,6,1
LOC105375451,0,0,0,2,0,0
LOC100129484,14,51,47,96,56,78
LOC728752,16,29,28,29,27,19
LOC101927793,74,29,10,12,74,84
LOC100240728,0,0,0,0,0,0
LOC101928401,2,0,4,12,4,4
LOC100129138,0,0,0,0,0,0
LOC105374344,1,0,1,0,1,1
LOC102723427,0,0,0,0,0,0
LOC101928737,2,0,1,1,0,9
LOC101928118,11,19,16,48,44,9
LOC101927143,0,2,0,4,1,6
LOC101927164,17,14,11,15,17,14
LOC101929528,0,0,0,0,0,0
LOC101927056,75,40,169,133,101,165
LOC101929901,3,4,10,25,8,9
LOC730183,27,22,32,72,55,98
LOC731157,1,0,0,3,0,2
LOC102723833,0,0,0,0,0,0
LOC105375115,14,0,0,0,0,0
LOC100505716,17,6,9,18,35,20
LOC100506489,0,0,0,0,0,0
LOC645513,481,355,452,562,487,654
LINC02480,0,0,0,0,0,0
LOC101927636,13,2,4,6,20,32
IQCM,0,0,0,0,0,0
LOC100506797,0,5,2,3,17,1
LOC101930028,3,0,0,0,0,0
LOC101928098,0,5,4,0,2,1
LOC101929595,4,4,8,2,6,0
LOC105374516,0,0,0,0,0,0
LOC101929210,0,0,0,0,0,0
LOC107985092,1,4,0,2,3,2
LOC100507291,59,21,49,71,58,36
LINC02502,257,0,2,3,0,2
LOC442028,0,2,0,0,2,0
LOC100129931,2,4,0,2,7,8
LOC256880,6,9,4,8,25,20
LOC102724776,0,0,0,8,0,1
LOC100129175,0,0,0,0,0,0
LOC105377245,0,0,0,0,0,0
LOC105374524,0,0,0,0,0,0
LINC02492,0,0,0,0,0,0
LOC101928590,0,0,0,0,0,0
LOC105373278,0,0,0,0,0,0
LOC344967,0,0,2,0,0,0
LOC105373463,0,0,0,2,2,0
LOC101929095,1,1,16,67,30,20
LOC148709,6,0,0,0,2,0
LOC101927769,0,0,0,0,0,0
LOC400499,143,104,79,181,173,353
LOC101927131,0,0,0,2,0,0
LOC101928446,6,2,3,4,0,0
LOC154761,12,17,14,21,25,28
LOC102723661,0,4,0,0,4,0
LOC105375297,0,0,0,0,0,0
LOC101926964,9,3,0,8,22,7
LOC105376671,9,3,0,14,16,29
FP248,751,452,123,643,475,541
LOC389641,26,20,8,13,15,26
LOC105370854,78,26,24,16,31,31
LOC105375624,23,4,3,10,16,52
LOC101927845,6,0,0,6,0,0
LOC105376633,0,0,0,0,0,0
LOC286178,4,12,2,6,20,24
LOC439933,0,0,0,0,0,2
LOC101929710,1,1,6,9,4,4
LOC101927023,0,0,0,0,0,0
LOC101928371,0,1,0,2,0,0
LOC107986321,3,25,17,8,26,4
LOC101928850,4,0,0,0,0,0
LOC105377623,10,13,7,12,20,21
LOC105373958,4,8,3,10,2,3
LOC105375342,0,0,0,0,0,0
LOC101927237,30,6,2,9,24,31
LOC200772,8,9,2,4,0,18
LOC101929064,2,2,0,6,1,0
LOC101927543,2,0,1,0,4,0
LOC105375666,30,23,56,134,67,73
LOC101927141,0,0,0,0,0,0
LOC100507071,28,39,19,25,68,35
LOC100505817,1,0,1,0,0,0
LOC105378753,45,15,21,113,55,46
LOC101930370,49,25,66,87,51,66
LOC338963,4,0,2,2,6,13
LOC101927359,0,22,53,160,2,21
LOC102724094,5,8,15,12,10,6
LOC93463,0,0,0,0,0,1
LOC729970,292,452,781,1514,889,337
LOC100996447,0,0,0,1,0,0
LOC105371286,4,5,16,18,9,16
LOC101928707,9,8,8,12,18,16
LOC653786,32,8,2,29,29,24
LOC729652,2,6,30,0,2,7
LOC105371050,3,0,3,7,19,9
LOC109864269,5,1,0,2,0,5
LOC100419170,22,28,60,63,113,26
LOC101927043,4,0,1,2,4,8
LOC100506405,0,0,0,0,0,2
LOC101928881,0,0,0,0,2,0
LOC105369192,42,0,5,51,26,8
LINC02497,0,0,1,0,0,0
LOC101928521,14,4,3,3,14,23
LOC100506258,58,79,83,289,162,185
LOC105372143,0,0,0,0,0,0
LOC101927513,2,13,39,42,0,0
LOC107986927,58,23,49,55,65,71
LOC286059,0,0,2,2,2,2
LOC100288181,3,2,2,4,27,35
LOC100507487,159,52,51,83,161,153
LINC02504,2,0,2,2,0,0
LOC100128770,2,6,2,3,2,11
LOC101929586,0,0,0,1,0,0
LOC100288748,0,0,0,2,0,0
LOC101929577,0,6,7,12,4,9
LOC102723692,0,1,0,0,0,0
LOC102546229,0,2,4,0,2,0
LOC102546299,0,0,0,0,0,0
LOC441601,1,0,0,0,1,0
LOC105377448,0,0,0,1,0,0
LINC02516,8,8,7,18,11,26
LOC101927822,0,0,0,0,0,0
LOC100507388,11,5,3,2,4,3
NSG1,432,37,17,18,46,49
LOC100506406,0,0,0,0,0,0
LOC101928858,17,4,13,17,82,0
LINC02506,2,0,0,0,0,0
LOC101928809,0,0,0,0,0,1
LOC107986453,0,1,1,0,0,3
LOC101929159,3,1,0,0,0,4
LOC653160,392,157,271,412,673,929
LOC643542,0,2,0,0,16,2
TEX51,0,0,0,0,0,0
LOC100286922,0,0,0,0,0,0
LOC645166,841,460,893,445,677,1565
LOC105379030,0,0,0,0,0,0
LOC100506688,4,48,28,10,54,34
LOC105371730,29,8,6,22,8,3
LOC101928053,26,10,15,26,26,39
LOC101928937,0,0,0,0,0,0
LOC100506125,3,0,2,4,2,3
LOC100130849,0,0,0,0,0,0
LOC105372179,0,0,0,0,0,0
LOC101927943,100,201,249,671,397,333
LOC105370757,0,0,0,0,0,1
LOC340357,0,0,0,0,1,0
LOC100506444,2,5,3,2,19,11
LOC101929066,27,22,27,49,28,22
LINC02547,0,0,0,0,1,0
LOC102723330,0,0,0,0,0,0
LOC100294362,92,51,93,75,118,94
LOC101928251,0,0,0,0,0,0
LOC101927267,7,4,11,8,8,18
LOC101928417,0,0,0,0,0,0
LOC101928530,6,3,0,5,1,11
LOC100506551,16,6,19,2,4,24
LOC101927708,0,1,2,0,2,0
LOC107985075,1,1,1,6,0,0
LOC100506388,63,12,2,11,98,79
DEFB130B,0,0,0,0,0,0
LOC285095,37,4,10,0,6,2
LOC101929470,0,0,0,0,0,0
LOC220729,1548,755,1323,1534,1183,1558
LOC644656,3,5,5,7,8,12
LOC554206,23,16,24,40,39,47
MDFIC2,0,0,0,0,0,0
LOC400553,2,9,26,4,108,105
LOC101928708,0,0,0,1,2,0
LOC105373191,11,0,0,3,10,6
LOC101928445,36,79,142,347,105,211
LOC440040,0,0,0,0,2,0
LOC102723557,0,0,0,0,0,0
LOC339059,9,4,2,3,18,14
LOC105371795,9,13,7,36,9,32
LOC102723701,45,14,14,42,48,42
LOC100505915,72,21,38,37,63,93
LOC100996385,2,1,0,0,2,0
LOC101928942,0,0,2,0,0,0
LOC100129917,51,40,105,52,57,61
LOC100507334,14,34,107,43,25,44
LOC105371430,0,2,0,0,2,0
